year,penetration,ac_households,afford,delta_t,cdh,qf_mean_wm2,qf_peak_wm2,qf_peak_hour,elec_peak_mw,feedback_k
2026,0.19955055206649072,654353,1.0,0.0,31833.9,22.21451759338379,35.124237060546875,18,3458.915328,0.0
2027,0.22088758800341798,724320,1.0714285714285714,0.0,31833.9,22.460731506347656,35.53369903564453,18,3491.136512,0.0
2028,0.24401046129862336,800143,1.1479591836734695,0.0,31833.9,22.72748374938965,35.97734832763672,18,3526.019072,0.0
2029,0.2692689594264827,882969,1.2299562682215746,0.0,31833.9,23.01944923400879,36.462894439697266,18,3564.182528,0.0
2030,0.2968030583684595,973257,1.3178102873802586,0.0,31833.9,23.337432861328125,36.99165725708008,18,3605.783552,0.0
2031,0.32685611505964685,1071805,1.4119395936217058,0.0,31833.9,23.684776306152344,37.56924057006836,18,3651.219968,0.0
2032,0.3591497023299444,1177700,1.512792421737542,0.0,31833.9,24.057920455932617,38.18962860107422,18,3699.988224,0.0
2033,0.3936002615324656,1290668,1.6208490232902235,0.0,31833.9,24.45502281188965,38.84983444213867,18,3751.912448,0.0
2034,0.42995467705802815,1409879,1.7366239535252397,0.0,31833.9,24.874801635742188,39.547672271728516,18,3806.82112,0.0
2035,0.4679784357699319,1534564,1.8606685216341854,0.0,31833.9,25.31462860107422,40.27859878540039,18,3864.321536,0.0
2036,0.5068783404398844,1662122,1.9935734160366274,0.0,31833.9,25.76521873474121,41.02711868286133,18,3923.206912,0.0
2037,0.5460807640065944,1790672,2.1359715171821008,0.0,31833.9,26.2194766998291,41.78160095214844,18,3982.561024,0.0
2038,0.5853267966481395,1919365,2.2885409112665367,0.0,31833.9,26.67393684387207,42.5362548828125,18,4051.416576,0.0
2039,0.6237506609976903,2045362,2.4520081192141467,0.0,31833.9,27.119760513305664,43.27619171142578,18,4119.63648,0.0
2040,0.6614734256056629,2169060,2.627151556300872,0.0,31833.9,27.55841064453125,44.00397872924805,18,4186.763264,0.0
2026,0.19955055206649072,654353,1.0,0.0,31833.9,22.21451759338379,35.124237060546875,18,3458.915328,0.02
2027,0.22095254417782256,724533,1.0714285714285714,0.0,31833.9,22.461212158203125,35.5345344543457,18,3491.18464,0.02
2028,0.24416964966969937,800665,1.1479591836734695,0.004933891296386719,31858.76681213379,22.733320236206055,35.98592758178711,18,3526.673408,0.02
2029,0.26950316760461757,883737,1.2299562682215746,0.010376052856445312,31886.195306396476,23.030359268188477,36.4784049987793,18,3565.409024,0.02
2030,0.2971897458292342,974525,1.3178102873802586,0.01631683349609375,31916.136840820312,23.354490280151367,37.015464782714844,18,3607.64288,0.02
2031,0.3272135264981547,1072977,1.4119395936217058,0.02279945373535156,31948.80924682618,23.70725440979004,37.59961700439453,18,3653.562368,0.02
2032,0.35967575585505196,1179425,1.512792421737542,0.029854736328125,31984.367871093757,24.08928871154785,38.23161697387695,18,3703.270656,0.02
2033,0.3942242067570279,1292714,1.6208490232902235,0.03749542236328125,32022.876928710935,24.497045516967773,38.90544891357422,18,3756.302592,0.02
2034,0.4308750420080424,1412897,1.7366239535252397,0.04565055847167969,32063.978814697257,24.93132972717285,39.6223030090332,18,3812.697344,0.02
2035,0.4687569949870911,1537117,1.8606685216341854,0.05433624267578125,32107.754663085936,25.381418228149414,40.36436080932617,18,3871.056896,0.02
2036,0.5077419830967567,1664954,1.9935734160366274,0.0633380126953125,32153.12358398437,25.84479522705078,41.127262115478516,18,3931.099136,0.02
2037,0.547301208184844,1794674,2.1359715171821008,0.07260555267333985,32199.831985473633,26.317174911499023,41.90392303466797,18,3992.229632,0.02
2038,0.5867293010898609,1923964,2.2885409112665367,0.0820531463623047,32247.447857666022,26.789026260375977,42.67849349975586,18,4063.575552,0.02
2039,0.6254709322644332,2051003,2.4520081192141467,0.09149017333984376,32295.010473632807,27.255624771118164,43.44316101074219,18,4134.00064,0.02
2040,0.6632028456293644,2174731,2.627151556300872,0.10082214355468751,32342.043603515624,27.71143341064453,44.18911361694336,18,4202.74048,0.02
2026,0.19955055206649072,654353,1.0,0.0,31833.9,22.21451759338379,35.124237060546875,18,3458.915328,0.05
2027,0.22074334260204065,723847,1.0714285714285714,0.0,31833.9,22.459152221679688,35.53107452392578,18,3490.904576,0.05
2028,0.24403455302528046,800222,1.1479591836734695,0.012231731414794923,31895.54792633056,22.736223220825195,35.989158630371094,18,3526.942976,0.05
2029,0.2695357981711025,883844,1.2299562682215746,0.026085281372070314,31965.36981811523,23.040842056274414,36.49192428588867,18,3566.456064,0.05
2030,0.29740565649345224,975233,1.3178102873802586,0.041316223144531254,32042.13376464844,23.375396728515625,37.043270111083984,18,3609.79456,0.05
2031,0.32768194285442437,1074513,1.4119395936217058,0.0580439567565918,32126.441542053224,23.740158081054688,37.64327621459961,18,3656.989184,0.05
2032,0.3602033341729859,1181155,1.512792421737542,0.07628202438354492,32218.361402893068,24.134666442871094,38.29084396362305,18,3707.920896,0.05
2033,0.3950161841510594,1295311,1.6208490232902235,0.09600744247436524,32317.77751007081,24.5576114654541,38.98347854614258,18,3762.432512,0.05
2034,0.4320558415728055,1416769,1.7366239535252397,0.11715469360351563,32424.359655761727,25.010679244995117,39.7236213684082,18,3820.648192,0.05
2035,0.47032448201262894,1542257,1.8606685216341854,0.1398080825805664,32538.53273620605,25.482736587524414,40.492496490478516,18,3881.150976,0.05
