year,penetration,ac_households,afford,delta_t,cdh,qf_mean_wm2,qf_peak_wm2,qf_peak_hour,elec_peak_mw
2026,0.19955055206649072,654353,1.0,0.0,31833.9,22.21451759338379,35.124237060546875,18,3458.915328
2027,0.22067594675911384,723626,1.0714285714285714,0.0,31833.9,22.459108352661133,35.53099822998047,18,3490.898944
2028,0.24390799522068937,799807,1.1479591836734695,0.012229537963867188,31895.5368713379,22.735626220703125,35.98822784423828,18,3526.845184
2029,0.2694830403393091,883671,1.2299562682215746,0.0260554313659668,31965.21937408448,23.041183471679688,36.49263381958008,18,3566.486016
2030,0.29730624000117106,974907,1.3178102873802586,0.04133329391479493,32042.219801330575,23.373815536499023,37.04083251953125,18,3609.60128
2031,0.32756819330957504,1074140,1.4119395936217058,0.057964897155761724,32126.043081665048,23.73941993713379,37.64228057861328,18,3656.897536
2032,0.36014874658980084,1180976,1.512792421737542,0.0762451171875,32218.175390624998,24.13446044921875,38.29067611694336,18,3707.906304
2033,0.39501099985544963,1295294,1.6208490232902235,0.09599714279174805,32317.725599670408,24.558870315551758,38.98577880859375,18,3762.606592
2034,0.43213330104838654,1417023,1.7366239535252397,0.11721763610839844,32424.676885986337,25.013595581054688,39.72859191894531,18,3821.04192
2035,0.47053215879558447,1542938,1.8606685216341854,0.13995389938354494,32539.267652893064,25.48650550842285,40.4987678527832,18,3881.64608
2036,0.5100151442423518,1672408,1.9935734160366274,0.16359939575195315,32658.440954589838,25.97686195373535,41.29508590698242,18,3944.2752
2037,0.5497631386823473,1802747,2.1359715171821008,0.18811721801757814,32782.010778808595,26.475496292114258,42.1022834777832,18,4009.162752
2038,0.589558401699961,1933241,2.2885409112665367,0.21304893493652344,32907.66663208008,26.978334426879883,42.91374969482422,18,4083.710464
2039,0.6286086509425964,2061292,2.4520081192141467,0.2381908416748047,33034.38184204102,27.475740432739258,43.71364212036133,18,4157.245952
2040,0.6667028550830799,2186208,2.627151556300872,0.26306114196777347,33159.72815551759,27.96535301208496,44.4985466003418,18,4229.422592
