ward,zone,population_mid2023,zone_area_km2
A,City,193520,72.02
B,City,133142,72.02
C,City,173800,72.02
D,City,362812,72.02
E,City,411366,72.02
F/S,City,377567,72.02
F/N,City,553355,72.02
G/S,City,395115,72.02
G/N,City,626578,72.02
H/E,Western Suburbs,582857,232.55
H/W,Western Suburbs,321722,232.55
K/E,Western Suburbs,861762,232.55
K/W,Western Suburbs,783107,232.55
P/S,Western Suburbs,484816,232.55
P/N,Western Suburbs,984647,232.55
R/S,Western Suburbs,723007,232.55
R/C,Western Suburbs,588006,232.55
R/N,Western Suburbs,451199,232.55
L,Eastern Suburbs,943703,178.57
M/E,Eastern Suburbs,844854,178.57
M/W,Eastern Suburbs,430829,178.57
N,Eastern Suburbs,651487,178.57
S,Eastern Suburbs,777977,178.57
T,Eastern Suburbs,357161,178.57
